dateissue,Value
14000207,1202630.4
14000206,1186956.5
14000205,1187843
14000204,1199341.7
14000201,1207047
14000131,1219589.9
14000130,1216874.3
14000129,1224795.3
14000128,1233781.8
14000125,1243358.7
14000124,1244556.7
14000123,1226158.2
14000122,1230876.5
14000121,1240696.7
14000118,1249910.4
14000117,1260785.7
14000116,1262735.3
14000115,1269478.7
14000114,1282948.7
14000111,1294521.6
14000110,1303193.7
14000108,1306887.8
14000107,1309561.6
13991227,1307707.1
13991226,1290474.5
13991225,1254213
13991224,1245186
13991223,1229377.2
13991220,1206878
13991219,1210146.7
13991218,1199888.4
13991217,1175595.8
13991216,1169724.3
13991213,1177916.9
13991212,1186277.3
13991211,1181641.2
13991210,1185603.7
13991209,1194009.9
13991206,1205832.4
13991205,1211642.8
13991204,1214482.7
13991203,1222614.3
13991202,1232716.1
13991129,1238357.4
13991128,1245882.9
13991127,1257286.2
13991126,1264368.7
13991125,1262253.7
13991121,1214416.1
13991120,1192744.4
13991119,1170532.9
13991118,1135345.5
13991115,1173010.7
13991114,1205467.1
13991113,1233667.6
13991112,1251041.7
13991111,1247152.7
13991108,1207698.3
13991107,1215033.1
13991106,1235783.1
13991105,1234557.5
13991104,1222070.6
13991101,1183978.2
13991030,1150718
13991029,1150225
13991027,1186711.2
13991024,1229836.5
13991023,1260722.5
13991022,1301325.6
13991021,1306620.7
13991020,1285892.4
13991017,1310755.8
13991016,1350233.2
13991015,1374483.2
13991014,1355351.2
13991013,1354147.1
13991010,1397797.2
13991009,1411859
13991008,1437212.3
13991007,1419012.8
13991006,1423570.2
13991003,1447915.3
13991002,1444968.9
13991001,1436392.9
13990930,1439124
13990929,1444926
13990926,1413360.4
13990925,1428324.5
13990924,1484158.9
13990923,1515759.4
13990922,1527451.8
13990919,1506217.3
13990918,1507498.7
13990917,1512891.9
13990916,1523108.5
13990915,1490676.8
13990912,1470980.1
13990911,1473667.3
13990910,1465975.3
13990909,1427278.1
13990908,1390772.8
13990905,1367248.8
13990904,1357108.6
13990903,1375541.3
13990902,1358847.5
13990901,1366535.2
13990828,1345301.4
13990827,1296947.1
13990826,1273847
13990825,1257356.9
13990824,1247649.2
13990821,1221074.8
13990820,1211941.2
13990819,1215163.9
13990818,1240523.8
13990817,1262887.1
13990814,1290571.4
13990812,1264477.6
13990811,1279862.7
13990810,1305898.7
13990807,1288330.5
13990806,1302028.5
13990805,1336587
13990803,1374057.4
13990730,1412354.7
13990729,1419305.3
13990728,1462283.2
13990727,1514272.5
13990723,1561416.1
13990722,1579675.7
13990721,1579507.3
13990720,1597125.4
13990719,1541822.8
13990716,1540700
13990715,1514698.2
13990714,1490173.1
13990713,1522980.9
13990712,1546154.7
13990709,1503426.8
13990708,1492939.8
13990707,1515930
13990706,1570888.3
13990705,1615531.2
13990702,1611582.5
13990701,1581180.1
13990631,1595160.1
13990630,1652235.7
13990629,1699494
13990626,1704108.5
13990625,1664592.8
13990624,1607587.1
13990623,1578190.1
13990622,1583753.6
13990619,1556280.3
13990618,1570010
13990617,1607195.3
13990616,1647781.8
13990615,1642007.7
13990612,1631941.3
13990611,1684786.6
13990610,1728035.3
13990605,1718783.4
13990604,1650044.3
13990603,1608581.8
13990602,1662215.4
13990601,1727239.5
13990529,1757229.2
13990528,1825353
13990527,1815754.7
13990526,1813565.7
13990525,1903267.6
13990522,1975439.7
13990521,1999843.4
13990520,2065114.3
13990519,2078546.8
13990515,2034192.5
13990514,1995044.4
13990513,1993340.2
13990512,2011524.3
13990511,1961621.8
13990508,1904324.2
13990507,1941193.5
13990506,1933935.6
13990505,1946086.2
13990504,1952910
13990501,1901147.2
13990431,1916194.1
13990430,1924845.1
13990429,1865027.5
13990428,1809172.1
13990425,1841700.7
13990424,1844907.3
13990423,1822083.1
13990422,1812843.1
13990421,1741353.7
13990418,1753642.8
13990417,1747078.6
13990416,1718350.2
13990415,1655429.6
13990414,1621343.3
13990411,1612902
13990410,1546845.4
13990409,1481938.4
13990408,1491927.7
13990407,1466277.5
13990404,1419453.5
13990403,1391025.4
13990402,1341578.8
13990401,1300812.8
13990331,1270627.1
13990327,1229673.6
13990326,1200100.4
13990325,1185421.9
13990324,1189857.9
13990321,1153679.7
13990320,1118118
13990319,1118912.1
13990318,1116186.8
13990317,1068844
13990313,1028537.8
13990312,988120.6
13990311,970412.9
13990310,973494.5
13990307,938557.2
13990306,926132.9
13990303,959840.4
13990231,986759.2
13990230,1002124.5
13990229,995180.6
13990228,968460.3
13990227,987475.2
13990224,1017662.5
13990223,1021445.2
13990222,1047763.2
13990221,1043252.5
13990220,1020217.5
13990217,977923.4
13990216,980571.1
